,GRB,+3sz,+1sz,mlz,-1sz,-3sz
0,GRB080723913,0.1979,0.7846,,,
1,GRB080725541,0.3782,,,,
2,GRB080802386,0.1376,0.475,1.1418,,
3,GRB081012045,0.2135,0.8894,,,
4,GRB081024891,0.4995,,,,
5,GRB081101491,0.1499,0.5305,1.385,,
6,GRB081102365,0.1195,0.3983,0.8747,,
7,GRB081107321,0.0165,0.0468,0.0798,0.1385,0.4787
8,GRB081113230,0.0963,0.3078,0.6212,1.9704,
9,GRB081122614,0.1462,0.5129,1.2986,,
10,GRB081204517,0.1645,0.6012,1.8102,,
11,GRB081209981,0.2114,0.8734,,,
12,GRB081216531,0.1081,0.353,0.7427,,
13,GRB081223419,0.0524,0.1564,0.2836,0.5614,
14,GRB081226044,0.2433,1.1114,,,
15,GRB081226509,0.1618,0.5875,1.7125,,
16,GRB081229187,0.2304,1.0065,,,
17,GRB090108020,0.0394,0.1152,0.2038,0.3808,
18,GRB090120627,0.7245,,,,
19,GRB090206620,0.1515,0.5381,1.4229,,
20,GRB090228204,0.0827,0.2586,0.5022,1.257,
21,GRB090305052,0.1054,0.3427,0.7137,,
22,GRB090308734,0.0828,0.259,0.5033,1.2587,
23,GRB090328713,0.5033,,,,
24,GRB090331681,0.1601,0.5794,1.6658,,
25,GRB090405663,0.4735,,,,
26,GRB090429753,0.0602,0.1818,0.3349,0.6924,
27,GRB090510016,0.1175,0.416,1.2288,,
28,GRB090531775,0.1764,0.6705,,,
29,GRB090617208,0.1694,0.6261,2.0277,,
30,GRB090621922,0.215,0.8952,,,
31,GRB090802235,0.1259,0.4248,0.9598,,
32,GRB090814368,0.2057,0.8338,,,
33,GRB090819607,0.2459,1.1347,,,
34,GRB090907808,0.0862,0.2712,0.5318,1.3912,
35,GRB090924625,0.2504,1.1755,,,
36,GRB091006360,0.1243,0.4182,0.9378,,
37,GRB091012783,0.0919,0.2919,0.5818,1.6764,
38,GRB091018957,0.1713,0.6359,2.118,,
39,GRB091019750,0.2242,0.9598,,,
40,GRB091126333,0.1381,0.4774,1.1509,,
41,GRB100101988,0.1746,0.6534,2.3792,,
42,GRB100117879,0.156,0.5594,1.5378,,
43,GRB100206563,0.1477,0.5206,1.3371,,
44,GRB100216422,0.1941,0.7623,,,
45,GRB100223110,0.171,0.6344,2.2238,,
46,GRB100301068,0.2251,0.9667,,,
47,GRB100328141,0.147,0.5178,1.358,,
48,GRB100417166,0.1665,0.6113,1.89,,
49,GRB100525744,0.1587,0.5725,1.6158,,
50,GRB100612545,0.0508,0.1512,0.2733,0.5368,
51,GRB100625773,0.116,0.384,0.8309,,
52,GRB100629801,0.0565,0.1696,0.3101,0.6269,
53,GRB100706693,0.4064,,,,
54,GRB100811108,0.144,0.5038,1.2684,,
55,GRB100827455,0.0989,0.3176,0.6465,2.2655,
56,GRB100929916,0.2366,1.0642,,,
57,GRB101026034,0.2217,0.9422,,,
58,GRB101031625,0.154,0.5498,1.4836,,
59,GRB101116481,0.3232,2.4367,,,
60,GRB101129652,0.2033,0.8215,,,
61,GRB101129726,0.1376,0.4748,1.143,,
62,GRB101204343,0.2731,1.4136,,,
63,GRB101208203,0.2518,1.1881,,,
64,GRB101216721,0.0235,0.0673,0.116,0.2054,0.8307
65,GRB110212550,0.1659,0.6083,1.8663,,
66,GRB110227009,0.1147,0.3791,0.8164,,
67,GRB110409179,0.2322,1.0202,,,
68,GRB110420946,0.1826,0.6966,,,
69,GRB110526715,0.1368,0.4716,1.1284,,
70,GRB110529034,0.1197,0.416,1.0211,,
71,GRB110605780,0.0815,0.2542,0.492,1.21,
72,GRB110705151,0.1129,0.372,0.7958,,
73,GRB110717180,0.22,0.9297,,,
74,GRB110728056,0.1589,0.5734,1.6231,,
75,GRB111011094,0.1293,0.4393,1.0093,,
76,GRB111022854,0.2173,0.9107,,,
77,GRB111024896,0.155,0.5546,1.5107,,
78,GRB111103948,0.3453,,,,
79,GRB111112908,0.2262,0.9774,,,
80,GRB111117510,0.1409,0.4896,1.2006,,
81,GRB111222619,0.0746,0.2303,0.4383,1.0061,
82,GRB120101354,0.1664,0.6108,1.8864,,
83,GRB120129312,1.16,,,,
84,GRB120222021,0.0262,0.0753,0.1303,0.2326,1.0227
85,GRB120327418,0.147,0.5171,1.3209,,
86,GRB120410585,0.2306,1.008,,,
87,GRB120415891,0.3097,2.066,,,
88,GRB120429003,0.1117,0.367,0.7805,,
89,GRB120519721,0.1085,0.3545,0.7456,,
90,GRB120524134,0.0339,0.0985,0.1726,0.3158,2.1437
91,GRB120603439,0.1814,0.6896,,,
92,GRB120608489,0.1029,0.333,0.687,3.0151,
93,GRB120612687,0.2936,1.7363,,,
94,GRB120811014,0.165,0.6043,1.9938,,
95,GRB120814201,0.182,0.6943,,,
96,GRB120817168,0.1822,0.6983,,,
97,GRB120830297,0.1168,0.3875,0.8424,,
98,GRB120831901,0.3088,2.0168,,,
99,GRB120915000,0.2497,1.1692,,,
100,GRB121012724,0.147,0.5172,1.3216,,
101,GRB121023322,0.2179,0.9292,,,
102,GRB121127914,0.1332,0.4557,1.0709,,
103,GRB130127743,0.2909,1.6593,,,
104,GRB130219626,0.1867,0.7195,,,
105,GRB130307126,0.3028,,,,
106,GRB130416770,0.0205,0.0584,0.1001,0.1756,0.6595
107,GRB130504314,0.1059,0.3445,0.7197,,
108,GRB130515056,0.1164,0.3858,0.8364,,
109,GRB130622615,0.0568,0.1705,0.3119,0.6317,
110,GRB130628860,0.1866,0.7204,,,
111,GRB130701761,0.0833,0.2607,0.5075,1.298,
112,GRB130706900,0.2665,1.338,,,
113,GRB130804023,0.0701,0.2147,0.4043,0.8932,
114,GRB130912358,0.2098,0.8634,,,
115,GRB130919173,0.0151,0.0429,0.073,0.1261,0.4256
116,GRB131004904,0.045,0.1328,0.237,0.4521,
117,GRB131126163,0.0401,0.1176,0.2083,0.3904,
118,GRB131217108,0.2418,1.1419,,,
119,GRB140105065,0.2486,1.1737,,,
120,GRB140105748,0.1598,0.5778,1.6492,,
121,GRB140209313,0.0089,0.0251,0.0423,0.072,0.2221
122,GRB140329272,0.2321,1.0198,,,
123,GRB140402007,0.3834,,,,
124,GRB140428906,0.2305,1.0088,,,
125,GRB140511095,0.1559,0.5585,1.5316,,
126,GRB140605377,0.1282,0.4343,0.9923,,
127,GRB140619490,0.1362,0.4686,1.1168,,
128,GRB140624423,0.1807,0.6856,2.9668,,
129,GRB140626843,0.0417,0.1223,0.2173,0.4098,
130,GRB140720158,0.2661,1.3337,,,
131,GRB140807500,0.1496,0.5291,1.3839,,
132,GRB140901821,0.116,0.3842,0.8353,,
133,GRB141011282,0.1609,0.5833,1.6868,,
134,GRB141105406,0.0955,0.3052,0.6148,1.9192,
135,GRB141122087,0.2546,1.2145,,,
136,GRB141128962,0.1055,0.3427,0.7126,,
137,GRB141202470,0.0654,0.1989,0.3704,0.7909,
138,GRB141213300,0.0444,0.1308,0.2336,0.4452,
139,GRB150118927,0.1591,0.5744,1.6369,,
140,GRB150214293,0.2921,1.6832,,,
141,GRB150312403,0.2293,0.9982,,,
142,GRB150320462,0.3237,2.5863,,,
143,GRB150325696,0.2082,0.8498,,,
144,GRB150412931,0.2182,0.9173,,,
145,GRB150506630,0.236,1.0549,,,
146,GRB150506972,0.0989,0.3179,0.6479,,
147,GRB150522944,0.1426,0.497,1.2317,,
148,GRB150604434,0.1221,0.4091,0.9091,,
149,GRB150628767,0.1915,0.7469,,,
150,GRB150629564,0.1492,0.5371,1.7469,,
151,GRB150715136,0.1916,0.7484,,,
152,GRB150728151,0.0835,0.2614,0.5087,1.2824,
153,GRB150810485,0.1901,0.7435,,,
154,GRB150811849,0.1243,0.4185,0.9455,,
155,GRB150819440,0.0409,0.12,0.2128,0.4001,
156,GRB150906944,0.2232,0.9528,,,
157,GRB150912600,0.1329,0.4545,1.0641,,
