,GRB,+3sz,+1sz,mlz,-1sz,-3sz
0,GRB080723913,0.1924,0.7724,,,
1,GRB080725541,0.3572,,,,
2,GRB080802386,0.1329,0.4655,1.1194,,
3,GRB081012045,0.2039,0.8487,,,
4,GRB081024891,0.4669,,,,
5,GRB081101491,0.1466,0.5283,1.3924,,
6,GRB081102365,0.1154,0.3909,0.8624,,
7,GRB081107321,0.0164,0.0475,0.0819,0.1438,0.5147
8,GRB081113230,0.0943,0.3073,0.6271,2.0513,
9,GRB081122614,0.1434,0.5126,1.3148,,
10,GRB081204517,0.1603,0.5948,1.7871,,
11,GRB081209981,0.202,0.8351,,,
12,GRB081216531,0.1037,0.3439,0.7264,,
13,GRB081223419,0.0515,0.1569,0.2876,0.5778,
14,GRB081226044,0.2342,1.0687,,,
15,GRB081226509,0.1573,0.5801,1.686,,
16,GRB081229187,0.2223,0.9745,,,
17,GRB090108020,0.0389,0.116,0.2076,0.3933,
18,GRB090120627,0.6596,,,,
19,GRB090206620,0.1468,0.5291,1.3967,,
20,GRB090228204,0.0797,0.2535,0.4962,1.2473,
21,GRB090305052,0.1013,0.3343,0.6992,,
22,GRB090308734,0.0802,0.2552,0.5,1.2613,
23,GRB090328713,0.4693,,,,
24,GRB090331681,0.1541,0.5643,1.5928,,
25,GRB090405663,0.4484,,,,
26,GRB090429753,0.058,0.1784,0.3316,0.6917,
27,GRB090510016,0.1106,0.3938,1.0853,,
28,GRB090531775,0.1679,0.6411,,,
29,GRB090617208,0.1632,0.6101,1.9099,,
30,GRB090621922,0.2076,0.8698,,,
31,GRB090802235,0.1225,0.4205,0.9576,,
32,GRB090814368,0.1978,0.8063,,,
33,GRB090819607,0.238,1.1002,,,
34,GRB090907808,0.0839,0.2687,0.5321,1.4115,
35,GRB090924625,0.2409,1.1256,,,
36,GRB091006360,0.122,0.4184,0.9505,,
37,GRB091012783,0.0889,0.2871,0.5766,1.6651,
38,GRB091018957,0.1668,0.6284,2.0685,,
39,GRB091019750,0.2189,0.9495,,,
40,GRB091126333,0.1344,0.4723,1.146,,
41,GRB100101988,0.1679,0.6343,2.1536,,
42,GRB100117879,0.1518,0.5531,1.5229,,
43,GRB100206563,0.1429,0.5109,1.3097,,
44,GRB100216422,0.1883,0.748,,,
45,GRB100223110,0.1638,0.6133,1.994,,
46,GRB100301068,0.218,0.9426,,,
47,GRB100328141,0.1407,0.5013,1.2934,,
48,GRB100417166,0.1626,0.6068,1.8789,,
49,GRB100525744,0.1534,0.5606,1.5663,,
50,GRB100612545,0.0489,0.1483,0.2704,0.5361,
51,GRB100625773,0.1124,0.3786,0.8249,,
52,GRB100629801,0.0554,0.1697,0.3135,0.6434,
53,GRB100706693,0.3867,,,,
54,GRB100811108,0.138,0.4885,1.2176,,
55,GRB100827455,0.0954,0.3117,0.6387,2.1964,
56,GRB100929916,0.2258,1.008,,,
57,GRB101026034,0.2142,0.9157,,,
58,GRB101031625,0.1499,0.5435,1.47,,
59,GRB101116481,0.3116,2.1734,,,
60,GRB101129652,0.1938,0.7835,,,
61,GRB101129726,0.1324,0.4631,1.1119,,
62,GRB101204343,0.2627,1.3411,,,
63,GRB101208203,0.2425,1.14,,,
64,GRB101216721,0.0232,0.0677,0.1179,0.2112,0.8937
65,GRB110212550,0.1606,0.5968,1.8025,,
66,GRB110227009,0.1122,0.3777,0.8222,,
67,GRB110409179,0.2241,0.9881,,,
68,GRB110420946,0.1775,0.6861,2.9852,,
69,GRB110526715,0.1323,0.4629,1.1092,,
70,GRB110529034,0.1149,0.4048,0.9892,,
71,GRB110605780,0.0799,0.2541,0.4974,1.2491,
72,GRB110705151,0.1085,0.3627,0.7785,,
73,GRB110717180,0.2127,0.9048,,,
74,GRB110728056,0.1534,0.5607,1.5674,,
75,GRB111011094,0.1259,0.4347,1.0064,,
76,GRB111022854,0.2107,0.891,,,
77,GRB111024896,0.151,0.5491,1.5011,,
78,GRB111103948,0.3274,,,,
79,GRB111112908,0.2165,0.9342,,,
80,GRB111117510,0.1363,0.4807,1.1796,,
81,GRB111222619,0.0721,0.2264,0.4346,1.0061,
82,GRB120101354,0.163,0.6086,1.8933,,
83,GRB120129312,1.0436,,,,
84,GRB120222021,0.0259,0.0759,0.1327,0.2398,1.1151
85,GRB120327418,0.1436,0.5142,1.3252,,
86,GRB120410585,0.2223,0.9744,,,
87,GRB120415891,0.2961,1.8403,,,
88,GRB120429003,0.1091,0.3649,0.784,,
89,GRB120519721,0.1045,0.347,0.7336,,
90,GRB120524134,0.0338,0.1002,0.1775,0.3295,2.8537
91,GRB120603439,0.1748,0.6713,2.7575,,
92,GRB120608489,0.1002,0.33,0.6871,3.0197,
93,GRB120612687,0.2802,1.5799,,,
94,GRB120811014,0.1578,0.5828,1.7973,,
95,GRB120814201,0.1744,0.6698,,,
96,GRB120817168,0.1739,0.67,,,
97,GRB120830297,0.1121,0.3773,0.8219,,
98,GRB120831901,0.2957,1.8201,,,
99,GRB120915000,0.2394,1.113,,,
100,GRB121012724,0.1421,0.5069,1.2918,,
101,GRB121023322,0.2077,0.8819,,,
102,GRB121127914,0.1279,0.4437,1.0403,,
103,GRB130127743,0.2788,1.5412,,,
104,GRB130219626,0.1821,0.7118,,,
105,GRB130307126,0.2863,,,,
106,GRB130416770,0.0197,0.0573,0.0993,0.176,0.679
107,GRB130504314,0.1014,0.3349,0.7018,,
108,GRB130515056,0.1128,0.3802,0.8298,,
109,GRB130622615,0.0559,0.1711,0.3165,0.6512,
110,GRB130628860,0.1785,0.6928,,,
111,GRB130701761,0.0799,0.2544,0.4986,1.2735,
112,GRB130706900,0.2576,1.2862,,,
113,GRB130804023,0.068,0.2123,0.4034,0.9017,
114,GRB130912358,0.2008,0.828,,,
115,GRB130919173,0.015,0.0433,0.0744,0.1301,0.4529
116,GRB131004904,0.0445,0.1339,0.2418,0.468,
117,GRB131126163,0.0389,0.1161,0.2078,0.3938,
118,GRB131217108,0.2296,1.0628,,,
119,GRB140105065,0.2374,1.1069,,,
120,GRB140105748,0.1551,0.5689,1.6155,,
121,GRB140209313,0.0088,0.0252,0.043,0.074,0.2342
122,GRB140329272,0.2248,0.9931,,,
123,GRB140402007,0.364,,,,
124,GRB140428906,0.2207,0.9637,,,
125,GRB140511095,0.1517,0.5522,1.5165,,
126,GRB140605377,0.1237,0.4254,0.9745,,
127,GRB140619490,0.1331,0.4663,1.1225,,
128,GRB140624423,0.1755,0.6752,2.7104,,
129,GRB140626843,0.041,0.1228,0.2205,0.4214,
130,GRB140720158,0.2576,1.2864,,,
131,GRB140807500,0.1439,0.5155,1.3361,,
132,GRB140901821,0.111,0.3729,0.8113,,
133,GRB141011282,0.1553,0.5701,1.6244,,
134,GRB141105406,0.0929,0.302,0.6138,1.9369,
135,GRB141122087,0.2462,1.1739,,,
136,GRB141128962,0.1036,0.3434,0.7231,,
137,GRB141202470,0.0632,0.196,0.3684,0.7947,
138,GRB141213300,0.0439,0.132,0.2383,0.4609,
139,GRB150118927,0.1534,0.5606,1.5734,,
140,GRB150214293,0.28,1.5608,,,
141,GRB150312403,0.2229,0.979,,,
142,GRB150320462,0.3088,2.1296,,,
143,GRB150325696,0.2024,0.8356,,,
144,GRB150412931,0.2104,0.8889,,,
145,GRB150506630,0.2257,1.0032,,,
146,GRB150506972,0.095,0.3101,0.6355,2.607,
147,GRB150522944,0.1394,0.4947,1.238,,
148,GRB150604434,0.1177,0.4002,0.8918,,
149,GRB150628767,0.1852,0.7299,,,
150,GRB150629564,0.1419,0.5149,1.546,,
151,GRB150715136,0.1837,0.7217,,,
152,GRB150728151,0.0812,0.2589,0.5088,1.2998,
153,GRB150810485,0.1814,0.7118,,,
154,GRB150811849,0.1189,0.4056,0.9144,,
155,GRB150819440,0.0397,0.1188,0.2128,0.4045,
156,GRB150906944,0.2152,0.9221,,,
157,GRB150912600,0.1293,0.4497,1.0601,,
158,GRB150922234,0.139,0.4928,1.2298,,
159,GRB150923864,0.0299,0.088,0.155,0.2839,1.614
160,GRB151022577,0.1227,0.421,0.9593,,
161,GRB151202565,0.2292,1.0377,,,
162,GRB151222340,0.1672,0.6321,,,
163,GRB151228129,0.1925,0.7736,,,
164,GRB151231568,0.0784,0.2489,0.4856,1.1995,
165,GRB160406503,0.2086,0.8768,,,
166,GRB160408268,0.1862,0.736,,,
167,GRB160428412,0.2932,2.501,,,
168,GRB160603719,0.0844,0.2707,0.5367,1.4352,
169,GRB160612842,0.3147,,,,
170,GRB160726065,0.0724,0.2277,0.4375,1.0158,
171,GRB160804180,0.1214,0.4157,0.9419,,
172,GRB160804968,1.0976,,,,
173,GRB160806584,0.0281,0.0828,0.1454,0.2646,1.3623
174,GRB160820496,0.201,0.8268,,,
175,GRB160822672,0.1953,0.7905,,,
176,GRB160829334,0.2372,1.0935,,,
177,GRB161026373,0.0697,0.2181,0.4162,0.9433,
178,GRB161218222,0.2759,,,,
179,GRB161230298,0.3066,2.044,,,
180,GRB170111760,0.3553,,,,
181,GRB170124528,0.1872,0.7418,,,
182,GRB170127067,0.0689,0.2153,0.4101,0.9234,
183,GRB170127634,0.1961,0.7955,,,
184,GRB170206453,0.0228,0.0665,0.1159,0.2079,0.8735
185,GRB170219002,0.3837,,,,
186,GRB170222209,0.0747,0.2355,0.455,1.0805,
187,GRB170304003,0.0475,0.1437,0.2612,0.5135,
188,GRB170305256,0.0645,0.2002,0.3775,0.8215,
189,GRB170325331,0.2179,0.9419,,,
190,GRB170403583,0.1976,0.8044,,,
191,GRB170506169,0.2179,0.9429,,,
192,GRB170604603,0.1965,0.7985,,,
193,GRB170709334,0.0853,0.2737,0.544,1.4733,
194,GRB170711713,0.4345,,,,
195,GRB170726249,0.0525,0.1599,0.2938,0.5932,
196,GRB170816599,0.0285,0.0837,0.1471,0.2682,1.4668
197,GRB170826369,0.2172,0.9373,,,
198,GRB170827818,0.0892,0.2883,0.5795,1.6818,
199,GRB170915520,0.1917,0.7683,,,
200,GRB170926782,0.016,0.0463,0.0798,0.1399,0.4969
201,GRB171108656,0.0063,0.018,0.0305,0.0521,0.1585
202,GRB171207055,0.3017,1.9358,,,
203,GRB171230119,0.7583,,,,
204,GRB180204109,0.0976,0.3199,0.6605,2.9985,
205,GRB180225417,0.2154,0.9249,,,
206,GRB180313978,0.1694,0.642,2.2117,,
207,GRB180402406,0.1504,0.5469,1.5482,,
208,GRB180402481,0.1404,0.4993,1.2579,,
209,GRB180511364,0.4622,,,,
210,GRB180511437,0.0105,0.0301,0.0515,0.0889,0.287
211,GRB180523782,0.296,2.1698,,,
212,GRB180525151,0.443,,,,
213,GRB180602938,0.2006,0.8236,,,
214,GRB180617872,0.0444,0.1337,0.2418,0.4691,
215,GRB180625941,0.16,0.5934,1.7783,,
216,GRB180626392,0.1163,0.3943,0.8729,,
217,GRB180703949,0.0088,0.0251,0.0427,0.0734,0.2311
218,GRB180715741,0.0889,0.2873,0.5772,1.6675,
219,GRB180715755,0.1449,0.5204,1.3561,,
220,GRB180913783,0.1253,0.4323,0.9979,,
221,GRB181126162,0.1414,0.5041,1.2933,,
222,GRB200415367,0.0145,0.0418,0.0719,0.1255,0.433
